// ========== СОПОСТАВЛЕНИЕ: jass-data.js ↔ hero-data.js ==========
// rawcode | jass-data.name | heroId (site) | hero-data.name | internal
// =========================================================================

// ---------- Elf (E) ----------
E000 | Иллюзионист        | illusionist   | Иллюзионист        | EvilIllidan
E001 | Друид              | druid        | Друид               | DruidOfTheClaw
E002 | Иллюзионист (альт)  | —           | —                   | EvilIllidan_alt
E004 | Мурлок             | murloc       | Мурлок              | MurgulTideWarrior
E006 | Леший              | leshy        | Леший               | KeeperOfTheGrove
E00H | Воительница        | warrioress   | Воительница         | HeroWarden
E00O | Темная Лучница     | dark-archer  | Темная Лучница      | SylvanasWindrunner
E010 | Жрица Луны         | priestess    | Жрица Луны          | PriestessOfTheMoon
E011 | Стражница          | guardian     | Стражница           | NightRage
E020 | Зодиак             | zodiac       | Зодиак              | Zodiac Warrior
E02O | Леший (альт)       | —           | —                   | KeeperOfTheGrove_alt
E03H | Ночной Хищник      | night-predator | Ночной Хищник     | WolfHeroIconV2
E03S | Ночной Хищник (альт)| —           | —                   | WolfHeroIconV2_alt

// ---------- Human (H) ----------
H000 | Киборг             | cyborg       | Киборг              | JunkGolem
H001 | Егерь              | ranger       | Егерь               | BloodElf_HeroRanger
H00F | Воин Света         | warrior-of-light | Воин Света        | Arthas
H00H | Паладин            | paladin      | Паладин             | HeroPaladin
H00V | Повелитель Тьмы    | dark-lord    | Повелитель Тьмы     | GhostOfKelThuzad
H011 | Чародей            | sorcerer     | Чародей             | BloodMage2
H01U | Костолом           | bonebreaker  | Костолом            | Archimonde
H02A | Огненный Рыцарь   | fire-knight  | Огненный Рыцарь     | _Fire_Revenant
H02F | Темный Маг         | dark-mage    | Темный Маг          | SkeletonMage
H02G | Волшебница Ветров | wind-enchantress | Волшебница Ветров | Sorceress
H02P | Верховный Маг      | archmage     | Верховный Маг       | HeroArchMage
H037 | Тень               | shadow       | Тень                | Shade
H03H | Десантник          | marine       | Десантник           | Marine
H03J | Адмирал            | admiral      | Адмирал             | AdmiralProudmoore
H046 | Покорительница Молний | lightning-subjugator | Покорительница Молний | Assassin
H04E | Маг Воздуха        | air-mage     | Маг Воздуха         | Medivh
H055 | Астральный Маг    | astral-mage  | Астральный Маг      | Astral_Mage
H06G | Некромонгер        | necromonger  | Некромонгер         | Acolyte
H07A | Воин Глубин        | deep-warrior | Воин Глубин         | NagaMyrmidon
H07E | Темный Мастер      | dark-master  | Темный Мастер       | KelThuzad
H088 | Отец Тьмы          | father-of-darkness | Отец Тьмы        | HolderOfENtropy
H089 | Привратник Ада     | hell-gatekeeper | Привратник Ада   | DoomGuard
H08A | Пожиратель Пламени | flame-eater | Пожиратель Пламени  | FlamingRaven
H08O | Ведьмак Хаоса      | chaos-witcher | Ведьмак Хаоса       | BloodElf'sRevenant
H08T | Темный Рыцарь      | dark-knight  | Темный Рыцарь       | HeroDeathKnight
H09N | Астральная Охотница| astral-huntress | Астральная Охотница | AstralHuntressIconV2
H0AG | Пивовар            | brewmaster   | Пивовар             | PandarenBrewmaster

// ---------- Neutral (N) ----------
N002 | Повелитель Огня    | fire-lord    | Повелитель Огня     | HeroAvatarOfFlame
N005 | Шторм              | storm        | Шторм               | StormBrewmaster
N00E | Разрушитель        | destroyer    | Разрушитель         | PitLord

// ---------- Orc (O) ----------
O000 | Самурай            | samurai      | Самурай             | HeroBlademaster
O001 | Громовержец        | thundergod   | Громовержец        | Avatar
O002 | Призрак            | ghost        | Призрак             | SpiritOfVengeance
O003 | Ночной Всадник     | rider        | Ночной Всадник      | Raider
O004 | Ночной Всадник (альт)| —          | —                   | Raider_alt
O005 | Морской Страж      | sea-guard    | Морской Страж       | FacelessOne
O006 | Вождь Минотавров   | minotaur-chief | Вождь Минотавров  | HeroTaurenChieftain
O007 | Повелитель Вихрей  | wind-lord    | Повелитель Вихрей   | DruidOfTheTalon
O008 | Пламенный Берсеркер | flame-berserker | Пламенный Берсеркер | HeadHunterBerserker
O009 | Пламенный Берсеркер (альт)| —       | —                   | HeadHunterBerserker_alt
O00A | Вождь Орков        | orc-chieftain | Вождь Орков        | ChaosGrom
O00B | Титан              | titan        | Титан               | FelGuardBlue
O00C | Титан (альт)       | —           | —                   | FelGuardBlue_alt
O00D | Вурдалак           | vurdalak     | Вурдалак            | Ghoul
O00E | Скелет             | skeleton     | Скелет              | SkeletonArcher
O00F | Грозовой Рыцарь    | storm-knight | Грозовой Рыцарь     | Revenant
O00G | Рыцарь Глубин      | knight-of-depths | Рыцарь Глубин     | DeepLordRevenant
O00H | Владыка Молний     | lightning-lord | Владыка Молний      | Thrall
O00I | Темный Шаман       | dark-shaman  | Темный Шаман        | ChaosWarlock
O00J | Снежная Королева   | snow-queen   | Снежная Королева    | Jaina
O00K | Звездный Дух       | star-spirit  | Звездный Дух        | AvengingWatcher
O00L | Водяной            | water-spirit | Водяной             | SeaElemental
O00M | Демон              | demon        | Демон               | demonhunter
O00N | Гидралиск          | hydralisk    | Гидралиск           | Hydralisk
O00O | Ночная Мстительница| night-avenger | Ночная Мстительница | Huntress
O00P | Мятежник           | rebel        | Мятежник            | BloodElfPeasant
O010 | Ассасин            | assassin     | Ассасин             | NightRage (3)
O011 | Огненная Панда     | fire-panda   | Огненная Панда      | FireBrewmaster

// ---------- Undead (U) ----------
U000 | Повелитель Льдов   | ice-lord     | Повелитель Льдов     | LichVersion2
U001 | Мясник             | butcher      | Мясник              | Abomination
U006 | Вампир             | vampire      | Вампир              | HeroDreadLord
U007 | Король Проклятых   | king-of-cursed | Король Проклятых   | Lich-King
U009 | Лорд Хаоса         | chaos-lord   | Лорд Хаоса          | Tichondrius
U00A | Лорд Хаоса (альт)  | —           | —                   | Tichondrius_alt
U00B | Повелитель Могил   | grave-lord   | Повелитель Могил    | HeroCryptLord
U01J | Ледяной Рыцарь     | ice-knight   | Ледяной Рыцарь      | ResDKVanilla
U01T | Владыка Грома      | thunder-lord-2 | Владыка Грома      | ThunderLord
